,data
0,"['@SammieLynnsMom', '@tg10781', 'they', 'will', 'be', 'all', 'done', 'by', 'Sunday', 'trust', 'me', '*wink*']"
1,"['Made', 'it', 'back', 'home', 'to', 'GA', '.', 'It', 'sucks', 'not', 'to', 'be', 'at', 'Disney', 'world', ',', 'but', 'its', 'good', 'to', 'be', 'home', '.', 'Time', 'to', 'start', 'planning', 'the', 'next', 'Disney', 'World', 'trip', '.']"
2,"[""'"", 'Breaking', 'Dawn', ""'"", 'Returns', 'to', 'Vancouver', 'on', 'January', '11th', 'http://bit.ly/dbDMs8']"
3,"['@ls_n', 'perhaps', ',', 'but', 'folks', 'may', 'find', 'something', 'in', 'the', 'gallery', 'that', 'is', 'helpful', 'in', 'their', 'day-to-day', 'work', 'as', 'well', '.', 'Even', 'just', 'to', 'use', 'it', '.']"
4,"['@Carr0t', 'aye', 'been', 'tonight', '-', 'excellent']"
5,"['RT', '@LilTwist', ':', 'RT', 'this', 'if', 'you', 'want', 'me', 'to', 'go', 'back', 'live', 'on', 'Ustream', 'later', 'tonight']"
6,"['@Hollly_', '16', 'b', '17', 'in', 'feb']"
7,"['RT', '@obsidianchao', ':', 'OF', 'FUCKING', 'COURSE', '.', 'I', 'GET', 'HOME', 'AND', 'MY', 'BROTHER', 'IS', 'ON', 'THE', 'MOTHER', 'FUCKING', 'XBOX', '.', 'Worst', 'fucking', 'day', 'ever', '.']"
8,"['I', ""haven't"", 'driven', 'to', 'bc', 'in', 'years', ',', 'and', 'I', 'am', 'just', 'stunned', 'by', 'how', 'beautiful', 'the', 'drive', 'is', '.']"
9,"['@daraobriain', 'hmmm', '.', 'Cant', 'wait', '.', 'Comin', 'on', 'Thursday', '.', 'First', 'time', 'to', 'the', 'Apollo', '.']"
10,"['RT', '@Hatshepsutely', ':', '@adamlambert', 'please', ',', 'oh', 'please', 'wear', 'the', 'infamous', 'beach', 'hat', 'tonight', 'during', 'your', 'encore', '(', 'in', 'lieu', 'of', 'a', 'rasta', 'wig)', '.', '&lt;', '3333']"
11,"['When', 'I', 'said', 'good', 'night', ',', 'I', 'ended', 'up', 'watching', 'movies', 'on', 'my', 'laptop', '.', 'Yep', '.', 'No', 'sleep', 'again', '.', 'Time', 'to', 'take', 'a', 'bath', 'now', '!', 'It', ""'s"", 'gonna', 'be', 'a', 'looong', 'day', '.']"
12,"[""'On"", 'set', 'filming', 'Chris', '""', 'Rainy', 'Days', '""', 'video', '.', 'This', 'is', 'the', 'final', 'scene', 'then', 'we', 'can', 'finally', 'edit', 'it', "".'""]"
13,"['@EimearJedward', 'auditioning', 'on', 'sunday', ':)', 'xo']"
14,"['@SheSo_Major', 'they', 'giving', 'the', 'nigga', 'a', 'realllllll', 'hard', 'time', 'about', 'it', 'lmfaoo', 'as', 'they', 'should', 'and', 'now', 'his', 'feelings', 'are', 'hurt', '...', 'i', 'like', 'him', 'tho', 'LMAO']"
15,"['The', 'Wolves', 'to', 'host', 'the', 'Lions', 'for', 'game', 'time', '!', 'Follow', 'us', 'for', 'scores', 'and', 'updates', 'throughout', 'the', 'game', '!']"
16,"['Man', 'gets', '20', 'years', 'in', 'murder', 'plot', 'against', 'judge', 'http://bit.ly/agB9iL']"
17,"['...', 'around', 'all', 'day', 'isnt', 'good', 'for', 'you', ',', 'least', 'i', 'get', 'home-relaxing', 'time', ',', 'thursday', 'and', 'frees', 'to', 'keeep', 'me', 'sane', ':)']"
18,"['Today', 'is', 'the', 'COMPLETE', 'OPPOSITE', 'of', 'yesterday', '-', '.', '-']"
19,"['#SIUC', 'Whats', 'the', 'Plan', 'For', 'tonight', '??', 'Whos', 'Goin', 'to', 'the', 'BLAST']"
20,"['Just', 'changed', 'my', 'twitter', 'background', ',', 'check', 'it', 'out', '!', 'Found', 'it', 'at', 'http://twitrounds.com', '..', 'September', '17', ',', '2010', ',', '2:52', 'pm']"
21,"['time', 'to', 'get', 'some', 'sleep', '.', 'been', 'out', 'from', '4pm', 'till', 'now', '.']"
22,"[""'Come"", 'to', '""', 'MRB', '@', '61', 'Roadhouse', 'BBQ', '""', 'Sunday', ',', 'October', '10', 'from', '12:00', 'pm', 'to', '4:00', 'pm', '.', 'We', 'are', 'playing', 'for', 'the', '61', 'Roadhouse', '...', ""http://fb.me/G1FbJGw1'""]"
23,"['RT', '@OMBieberJokes', ':', 'Little', 'Girl', ':', 'Santa', 'Is', 'So', 'Awesome', '!', 'Me', ':', 'No', 'Little', 'Girl', '...', 'You', 'Only', 'Use', 'The', 'Word', '""', 'Awesome', '""', 'When', 'You', 'Are', 'Referring', 'To', 'Just', '...']"
24,"['Today', '=', 'Morton', ""'s"", 'Salt', 'motto', '+', 'Murphy', ""'s"", 'Law']"
25,"['@FLAM3Z130', 'half', 'the', 'time', 'in', 'inglewood', 'the', 'other', 'half', 'in', 'mv', '...', 'where', 'u', 'been']"
26,"['RT', '@shan7792', ':', 'its', 'annoying', 'tht', 'ppl', 'ask', 'me', 'what', 'race', 'i', 'am', 'before', 'they', 'ask', 'me', 'my', 'name', '-_-']"
27,"['My', 'boobs', 'look', 'HUGE', 'today', '!', '=D']"
28,"['@tanyahowse', 'ok', 'this', 'may', 'sound', 'stupid', 'but', 'can', 'u', 'tell', 'them', 'jedsweemonster', 'says', 'hi', "":'"", ')']"
29,"['Serious', 'Eats', ':', 'Leftovers', ':', 'The', 'Day', ""'s"", 'Stray', 'Links', '#Food', 'http://portfo.li/t/7/rjE']"
30,"['What', 'is', 'it', 'with', 'people', 'and', 'punctuality', '?', 'I', 'used', 'to', 'be', 'that', 'guy', 'and', 'honestly', ',', 'it', ""'s"", 'a', 'haze', 'now', '.', 'Just', 'be', 'on', 'time', '.', 'It', ""'s"", 'not', 'like', 'its', 'a', 'surprise', '.']"
31,"['he', 'likes', 'prince', ',', 'paul', 'simon', ',', 'and', 'o.d.b.', 'i', 'may', 'have', 'found', 'my', 'soul', 'mate', '.']"
32,"['Come', 'to', '""', '6th', 'Biannual', '24', 'Hour', 'Prayer', 'Focus', '""', 'Saturday', ',', 'November', '13', 'from', '10:00', 'am', 'to', '1:00', 'pm', '.', 'Mark', 'the', 'Date', '!!!', 'http://fb.me/JyYXPmql']"
33,"['@RaniLovezYou', 'Yeah', ',', 'he', ""'s"", 'had', 'a', 'few', 'shows', 'over', 'here', '.', 'Great', 'chef', ',', 'glad', 'I', ""wasn't"", 'disappointed', '!', 'His', 'wife', 'gave', 'birth', 'a', 'couple', 'of', 'days', 'ago', ',', 'aww', '.']"
34,"[""I'm"", 'tired', 'after', 'school', 'today', '!']"
35,"['It', ""'s"", 'supposed', 'to', 'rain', 'in', 'The', 'Bay', 'on', 'Sunday', '...', 'well', ',', 'weather.com', 'says', '&quot;', 'showers', '&quot;.', 'Whatever', ',', 'same', 'thing', '.']"
36,"['cant', 'wait', 'to', 'see', 'my', 'beautiful', 'neice', 'nx', 'week', ',', 'gonna', 'spoil', 'her', 'rotton']"
37,"['GuitarNews', ':', 'RockHouse', ':', 'The', 'Weekend', 'Read', 'For', 'Sept', '.', '17th', '2010', '-', 'Guitar', 'Lessons', ',', 'Articles', 'and', 'More', ':', 'http://bit.ly/bmHnln']"
38,"['What', 'a', 'productive', 'day', '.', 'Not', '.']"
39,"['right', '.', 'Five', 'Star', 'Day', 'came', 'out', 'in', 'may', 'this', 'year', '.', 'why', ""haven't"", 'ANY', 'trailers', 'come', 'out', 'here', 'in', 'Scotland', 'yet', '?', ""i've"", 'waited', 'about', 'a', 'year', 'for', 'this', '!']"
40,"['@jeffpulver', '@wildman94', '@MusicIsGood4U', 'thanks', 'for', 'hitting', 'me', 'and', '@shoewolf', 'up', '.', 'Let', 'me', 'know', 'when', 'that', 'DM', 'with', 'all', 'the', 'info', 'has', 'been', 'sent', '.']"
41,"['is', 'up', 'and', 'ready', 'for', 'his', 'last', 'day', 'on', 'the', 'punt', 'until', 'Stakes', 'Day', '...', '#sadbuttrue']"
42,"['@alealshinn', '@BambingBling', '~~~', '@sunchips', 'this', 'is', 'the', 'second', 'time', 'they', 'have', 'messed', 'up', '....', 'about', 'to', 'give', 'up', 'on', 'them']"
43,"['@Daniim92', 'tks', ':D', 'obviously', 'its', 'one', 'of', 'the', 'happiest', 'day', 'in', 'my', 'life', 'lol']"
44,"['RT', '@mrdaveyd', ':', 'PG&lt;E', 'donated', '35G', 'to', 'state', 'committe', 'chairman', 'investigating', 'them', '1day', 'after', 'explosion', 'in', '#sanBrunofire', '-Who', 'is', 'still', 'defendi', '...']"
45,"['@coulditbeJenG', 'It', 'was', '20', 'years', 'ago', '.', ""They're"", 'coming', 'after', 'me', ',', 'I', 'just', 'know', 'it', '.']"
46,"['@peasmom3', 'and', 'as', 'if', 'I', 'was', ""n't"", 'obsessed', 'with', 'AFL', 'already', ',', 'after', 'Sunday', 'I', ""'ve"", 'gotten', 'even', 'more', 'so', '!!', 'I', ""'m"", 'so', 'obsessed', 'with', 'his', 'sexiness', '!!!!']"
47,"['Of', 'course', ',', 'I', 'was', 'stunned', '.', 'This', ',', 'after', 'all', ',', 'was', 'an', 'inanimate', 'object', '.']"
48,"['Halo', 'Reach', 'was', 'a', 'bit', 'crap', 'tonight']"
49,"['So', 'here', 'in', 'Belgium', 'its', 'now', '7minutes', 'before', 'midnight', ',,', 'Tell', 'me', 'how', 'late', 'it', 'is', 'were', 'you', 'live', ':D']"
50,"['We', 'are', 'tied', 'as', 'the', '5th', 'band', 'to', 'compete', 'in', 'South', '107', ""'s"", 'Battle', 'of', 'the', 'Bands', 'next', 'Friday', 'for', 'the', 'spot', 'to', 'open', 'for', '...', 'http://fb.me/IxhGnUhs']"
51,"['RT', '@eljmayes', ':', 'Ladbrokes', 'Labour', 'Leadership', 'Market-', 'http://bit.ly/cD3Rn8', 'Ed', 'Miliband', ""'s"", 'odds', 'have', 'shortened', 'significantly', 'in', 'the', 'last', 'week', '.']"
52,"['@Zerinaakers', 'talking', 'about', 'as', 'far', 'as', 'shooting', 'for', 'location', 'its', 'going', 'to', 'be', 'on', '#Vh1', 'so', 'by', 'the', 'end', 'of', 'the', 'month', 'i', 'should', 'know', 'something']"
53,"['First', 'Day', 'of', 'Autumn', 'Networking', 'Mixer', 'at', 'Dick', ""'s"", 'Carpet', 'next', 'T', '...', 'http://conta.cc/ap95gL', 'via', '#constantcontact']"
54,"['Why', 'hate', 'on', 'somebody', 'for', 'doing', 'well', 'when', 'you', 'can', 'simply', 'say', 'great', 'job', 'and', 'move', 'on', '..', '[Haters', 'u', 'can', 'kill', 'yourself', ']', 'cuz', 'ur', 'losers']"
55,"['Wat', 'a', 'day', 'today', '.', 'But', 'oh', 'well', 'i', 'love', 'her', '*Danielle', 'ily*']"
56,"['@Vivianna_loves', 'I', 'just', 'bought', 'Dior', 'mascara', 'for', 'the', 'first', 'time', '.....', 'its', 'the', 'only', 'mascara', 'that', ""doesn't"", 'make', 'me', 'wanna', 'wear', 'lashes', '.']"
57,"['realy', 'bored', 'smack', 'down', 'tonite', 'yay', '!!', '(', ':', 'mood', ':', 'bored-_-', 'ha', '!']"
58,"['Bloggers', ':', 'Who', 'are', 'you', 'writing', 'for', '?', '|', 'Social', 'Media', 'Today', 'http://bit.ly/9mY0NK']"
59,"['RT', '@LilTwist', ':', 'RT', 'this', 'if', 'you', 'want', 'me', 'to', 'go', 'back', 'live', 'on', 'Ustream', 'later', 'tonight']"
60,"['The', 'British', 'have', 'a', 'remarkable', 'talent', 'for', 'keeping', 'calm', ',', 'even', 'when', 'there', 'is', 'no', 'crisis', '.']"
61,"['@sfgiantsfan55', 'omg', 'Todo', 'Cabio', 'has', 'been', 'my', 'fav', 'since', 'like', '`07', 'i', 'still', 'listen', 'to', 'their', 'CD', 'all', 'the', 'time', 'i', 'want', 'the', 'new', 'one', '.', 'alejate', 'de', 'mi', '...']"
